subj_id,Status,Started.at,Completed.at,Reviewed.at,Archived.at,Time.taken,Completion.code,Total.approvals,Age,Sex,Ethnicity.simplified,Country.of.birth,Ethnicity,Nationality,Language,Student.status,Employment.status
233326,APPROVED,2022-11-16T13:05:39.358000Z,2022-11-16T13:20:26.525000Z,2022-11-17T08:27:07.595000,2022-11-16T13:20:26.870615Z,888,3092805E,104,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233335,APPROVED,2022-11-16T13:05:49.564000Z,2022-11-16T13:20:30.661000Z,2022-11-17T08:27:07.674000,2022-11-16T13:20:31.088095Z,882,3092805E,59,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233342,APPROVED,2022-11-16T13:06:15.999000Z,2022-11-16T13:18:19.193000Z,2022-11-17T08:27:07.750000,2022-11-16T13:18:19.580979Z,724,3092805E,799,27,Female,White,France,United Kingdom,France,English,No,Full-Time
233345,APPROVED,2022-11-16T13:05:45.235000Z,2022-11-16T13:17:17.759000Z,2022-11-17T08:27:07.831000,2022-11-16T13:17:18.093035Z,693,3092805E,86,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233333,APPROVED,2022-11-16T13:05:45.793000Z,2022-11-16T13:19:16.136000Z,2022-11-17T08:27:07.908000,2022-11-16T13:19:16.467964Z,811,3092805E,1369,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
233344,APPROVED,2022-11-16T13:06:22.742000Z,2022-11-16T13:19:45.534000Z,2022-11-17T08:27:07.984000,2022-11-16T13:19:45.884280Z,803,3092805E,616,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233330,APPROVED,2022-11-16T13:05:42.013000Z,2022-11-16T13:17:29.418000Z,2022-11-17T08:27:08.065000,2022-11-16T13:17:29.740378Z,708,3092805E,263,31,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233346,APPROVED,2022-11-16T13:06:32Z,2022-11-16T13:21:03.095000Z,2022-11-17T08:27:08.144000,2022-11-16T13:21:03.470931Z,872,3092805E,374,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
233354,APPROVED,2022-11-16T13:12:47.735000Z,2022-11-16T13:24:18.332000Z,2022-11-17T08:27:08.223000,2022-11-16T13:24:18.817312Z,691,3092805E,443,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233352,APPROVED,2022-11-16T13:08:50.969000Z,2022-11-16T13:20:59.493000Z,2022-11-17T08:27:08.300000,2022-11-16T13:21:00.117453Z,729,3092805E,544,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
